Vds ,id@Vgs 0.2 ,id@Vgs 0.201 ,id@Vgs 0.202 ,id@Vgs 0.203 ,id@Vgs 0.204 ,id@Vgs 0.205 ,id@Vgs 0.206 ,id@Vgs 0.207 ,id@Vgs 0.208 ,id@Vgs 0.209 ,id@Vgs 0.21 ,id@Vgs 0.211 ,id@Vgs 0.212 ,id@Vgs 0.213 ,id@Vgs 0.214 ,id@Vgs 0.215 ,id@Vgs 0.216 ,id@Vgs 0.217 ,id@Vgs 0.218 ,id@Vgs 0.219 ,id@Vgs 0.22 ,id@Vgs 0.221 ,id@Vgs 0.222 ,id@Vgs 0.223 ,id@Vgs 0.224 ,id@Vgs 0.225 ,id@Vgs 0.226 ,id@Vgs 0.227 ,id@Vgs 0.228 ,id@Vgs 0.229 ,id@Vgs 0.23 ,id@Vgs 0.231 ,id@Vgs 0.232 ,id@Vgs 0.233 ,id@Vgs 0.234 ,id@Vgs 0.235 ,id@Vgs 0.236 ,id@Vgs 0.237 ,id@Vgs 0.238 ,id@Vgs 0.239 ,id@Vgs 0.24 ,id@Vgs 0.241 ,id@Vgs 0.242 ,id@Vgs 0.243 ,id@Vgs 0.244 ,id@Vgs 0.245 ,id@Vgs 0.246 ,id@Vgs 0.247 ,id@Vgs 0.248 ,id@Vgs 0.249 ,id@Vgs 0.25 
72.0E-3,536.50390E-9,554.10243E-9,572.27393E-9,591.03673E-9,610.40975E-9,630.41246E-9,651.06495E-9,672.38791E-9,694.40268E-9,717.13122E-9,740.59619E-9,764.82091E-9,789.82943E-9,815.64649E-9,842.29759E-9,869.80900E-9,898.20777E-9,927.52174E-9,957.77957E-9,989.01079E-9,1.0212458E-6,1.0545158E-6,1.0888531E-6,1.1242907E-6,1.1608627E-6,1.1986041E-6,1.2375511E-6,1.2777407E-6,1.3192110E-6,1.3620013E-6,1.4061518E-6,1.4517040E-6,1.4987005E-6,1.5471850E-6,1.5972026E-6,1.6487993E-6,1.7020227E-6,1.7569214E-6,1.8135455E-6,1.8719464E-6,1.9321768E-6,1.9942907E-6,2.0583438E-6,2.1243928E-6,2.1924963E-6,2.2627141E-6,2.3351076E-6,2.4097399E-6,2.4866753E-6,2.5659799E-6,2.6477216E-6
74.0E-3,541.04490E-9,558.79333E-9,577.11968E-9,596.04244E-9,615.58069E-9,635.75409E-9,656.58290E-9,678.08799E-9,700.29088E-9,723.21376E-9,746.87947E-9,771.31156E-9,796.53426E-9,822.57256E-9,849.45220E-9,877.19968E-9,905.84228E-9,935.40810E-9,965.92609E-9,997.42603E-9,1.0299386E-6,1.0634953E-6,1.0981287E-6,1.1338721E-6,1.1707600E-6,1.2088278E-6,1.2481117E-6,1.2886494E-6,1.3304792E-6,1.3736408E-6,1.4181748E-6,1.4641231E-6,1.5115286E-6,1.5604356E-6,1.6108894E-6,1.6629368E-6,1.7166255E-6,1.7720048E-6,1.8291253E-6,1.8880387E-6,1.9487984E-6,2.0114589E-6,2.0760764E-6,2.1427084E-6,2.2114138E-6,2.2822531E-6,2.3552884E-6,2.4305834E-6,2.5082031E-6,2.5882143E-6,2.6706855E-6
76.0E-3,545.32964E-9,563.21951E-9,581.69197E-9,600.76567E-9,620.45983E-9,640.79428E-9,661.78945E-9,683.46639E-9,705.84680E-9,728.95305E-9,752.80817E-9,777.43591E-9,802.86071E-9,829.10778E-9,856.20306E-9,884.17327E-9,913.04595E-9,942.84943E-9,973.61289E-9,1.0053664E-6,1.0381408E-6,1.0719681E-6,1.1068808E-6,1.1429129E-6,1.1800989E-6,1.2184745E-6,1.2580765E-6,1.2989426E-6,1.3411116E-6,1.3846236E-6,1.4295195E-6,1.4758415E-6,1.5236330E-6,1.5729387E-6,1.6238043E-6,1.6762768E-6,1.7304047E-6,1.7862376E-6,1.8438264E-6,1.9032235E-6,1.9644827E-6,2.0276591E-6,2.0928093E-6,2.1599913E-6,2.2292647E-6,2.3006907E-6,2.3743317E-6,2.4502521E-6,2.5285176E-6,2.6091957E-6,2.6923555E-6
78.0E-3,549.37611E-9,567.39956E-9,586.01000E-9,605.22623E-9,625.06762E-9,645.55416E-9,666.70643E-9,688.54566E-9,711.09371E-9,734.37312E-9,758.40711E-9,783.21961E-9,808.83527E-9,835.27947E-9,862.57839E-9,890.75895E-9,919.84889E-9,949.87679E-9,980.87207E-9,1.0128650E-6,1.0458868E-6,1.0799694E-6,1.1151461E-6,1.1514507E-6,1.1889181E-6,1.2275845E-6,1.2674868E-6,1.3086631E-6,1.3511525E-6,1.3949953E-6,1.4402329E-6,1.4869079E-6,1.5350640E-6,1.5847461E-6,1.6360005E-6,1.6888746E-6,1.7434172E-6,1.7996783E-6,1.8577095E-6,1.9175634E-6,1.9792943E-6,2.0429579E-6,2.1086111E-6,2.1763127E-6,2.2461226E-6,2.3181025E-6,2.3923156E-6,2.4688267E-6,2.5477021E-6,2.6290100E-6,2.7128201E-6
80.0E-3,553.20155E-9,571.35127E-9,590.09214E-9,609.44310E-9,629.42367E-9,650.05398E-9,671.35476E-9,693.34739E-9,716.05390E-9,739.49699E-9,763.70007E-9,788.68722E-9,814.48328E-9,841.11384E-9,868.60525E-9,896.98463E-9,926.27995E-9,956.51999E-9,987.73439E-9,1.0199536E-6,1.0532092E-6,1.0875333E-6,1.1229594E-6,1.1595216E-6,1.1972551E-6,1.2361963E-6,1.2763825E-6,1.3178519E-6,1.3606442E-6,1.4047997E-6,1.4503603E-6,1.4973689E-6,1.5458695E-6,1.5959075E-6,1.6475294E-6,1.7007831E-6,1.7557177E-6,1.8123837E-6,1.8708329E-6,1.9311186E-6,1.9932954E-6,2.0574194E-6,2.1235481E-6,2.1917407E-6,2.2620577E-6,2.3345612E-6,2.4093150E-6,2.4863844E-6,2.5658364E-6,2.6477396E-6,2.7321643E-6
82.0E-3,556.82236E-9,575.09157E-9,593.95588E-9,613.43436E-9,633.54664E-9,654.31301E-9,675.75433E-9,697.89214E-9,720.74862E-9,744.34662E-9,768.70970E-9,793.86214E-9,819.82894E-9,846.63585E-9,874.30941E-9,902.87695E-9,932.36663E-9,962.80741E-9,994.22916E-9,1.0266626E-6,1.0601394E-6,1.0946920E-6,1.1303541E-6,1.1671600E-6,1.2051454E-6,1.2443467E-6,1.2848014E-6,1.3265483E-6,1.3696270E-6,1.4140785E-6,1.4599448E-6,1.5072690E-6,1.5560957E-6,1.6064704E-6,1.6584400E-6,1.7120528E-6,1.7673583E-6,1.8244074E-6,1.8832522E-6,1.9439464E-6,2.0065450E-6,2.0711047E-6,2.1376834E-6,2.2063405E-6,2.2771373E-6,2.3501362E-6,2.4254016E-6,2.5029993E-6,2.5829967E-6,2.6654631E-6,2.7504694E-6
84.0E-3,560.25408E-9,578.63653E-9,597.61782E-9,617.21712E-9,637.45423E-9,658.34953E-9,679.92404E-9,702.19942E-9,725.19800E-9,748.94279E-9,773.45750E-9,798.76655E-9,824.89512E-9,851.86914E-9,879.71530E-9,908.46114E-9,938.13496E-9,968.76597E-9,1.0003842E-6,1.0330206E-6,1.0667069E-6,1.1014761E-6,1.1373618E-6,1.1743987E-6,1.2126226E-6,1.2520703E-6,1.2927795E-6,1.3347892E-6,1.3781394E-6,1.4228713E-6,1.4690271E-6,1.5166504E-6,1.5657860E-6,1.6164796E-6,1.6687787E-6,1.7227318E-6,1.7783886E-6,1.8358005E-6,1.8950201E-6,1.9561013E-6,2.0190996E-6,2.0840720E-6,2.1510768E-6,2.2201741E-6,2.2914253E-6,2.3648935E-6,2.4406434E-6,2.5187415E-6,2.5992556E-6,2.6822555E-6,2.7678126E-6
86.0E-3,563.51136E-9,582.00128E-9,601.09358E-9,620.80755E-9,641.16311E-9,662.18076E-9,683.88165E-9,706.28758E-9,729.42102E-9,753.30510E-9,777.96369E-9,803.42136E-9,829.70344E-9,856.83602E-9,884.84597E-9,913.76098E-9,943.60955E-9,974.42104E-9,1.0062257E-6,1.0390546E-6,1.0729399E-6,1.1079144E-6,1.1440123E-6,1.1812684E-6,1.2197186E-6,1.2594000E-6,1.3003507E-6,1.3426098E-6,1.3862175E-6,1.4312154E-6,1.4776459E-6,1.5255530E-6,1.5749815E-6,1.6259778E-6,1.6785894E-6,1.7328652E-6,1.7888554E-6,1.8466115E-6,1.9061865E-6,1.9676348E-6,2.0310122E-6,2.0963760E-6,2.1637851E-6,2.2332997E-6,2.3049820E-6,2.3788953E-6,2.4551048E-6,2.5336774E-6,2.6146815E-6,2.6981873E-6,2.7842668E-6
88.0E-3,566.60795E-9,585.20002E-9,604.39783E-9,624.22080E-9,644.68893E-9,665.82287E-9,687.64389E-9,710.17390E-9,733.43549E-9,757.45196E-9,782.24729E-9,807.84620E-9,834.27418E-9,861.55745E-9,889.72305E-9,918.79883E-9,948.81345E-9,979.79646E-9,1.0117783E-6,1.0447902E-6,1.0788644E-6,1.1140342E-6,1.1503336E-6,1.1877979E-6,1.2264632E-6,1.2663668E-6,1.3075469E-6,1.3500429E-6,1.3938953E-6,1.4391459E-6,1.4858375E-6,1.5340140E-6,1.5837210E-6,1.6350047E-6,1.6879133E-6,1.7424957E-6,1.7988025E-6,1.8568856E-6,1.9167982E-6,1.9785952E-6,2.0423327E-6,2.1080683E-6,2.1758614E-6,2.2457725E-6,2.3178642E-6,2.3922002E-6,2.4688462E-6,2.5478695E-6,2.6293390E-6,2.7133253E-6,2.7999009E-6
90.0E-3,569.55672E-9,588.24604E-9,607.54430E-9,627.47102E-9,648.04634E-9,669.29099E-9,691.22636E-9,713.87448E-9,737.25809E-9,761.40057E-9,786.32607E-9,812.05944E-9,838.62629E-9,866.05301E-9,894.36677E-9,923.59558E-9,953.76826E-9,984.91452E-9,1.0170649E-6,1.0502510E-6,1.0845051E-6,1.1198607E-6,1.1563520E-6,1.1940145E-6,1.2328845E-6,1.2729994E-6,1.3143978E-6,1.3571193E-6,1.4012046E-6,1.4466957E-6,1.4936356E-6,1.5420687E-6,1.5920405E-6,1.6435978E-6,1.6967889E-6,1.7516630E-6,1.8082711E-6,1.8666653E-6,1.9268992E-6,1.9890279E-6,2.0531080E-6,2.1191974E-6,2.1873556E-6,2.2576440E-6,2.3301250E-6,2.4048632E-6,2.4819244E-6,2.5613764E-6,2.6432884E-6,2.7277317E-6,2.8147791E-6
