time (s),VT("/out") -  VDC("/out") (V)
149.00E-9,2.3287969E-3
149.50E-9,2.6121278E-3
150.00E-9,2.8923849E-3
150.50E-9,3.1697326E-3
151.00E-9,3.4424264E-3
151.50E-9,3.7115077E-3
152.00E-9,3.9776153E-3
152.50E-9,4.2390890E-3
153.00E-9,4.4955488E-3
153.50E-9,4.7471310E-3
154.00E-9,4.9942874E-3
154.50E-9,5.2359105E-3
155.00E-9,5.4721372E-3
155.50E-9,5.7025358E-3
156.00E-9,5.9256570E-3
156.50E-9,6.1425929E-3
157.00E-9,6.3541242E-3
157.50E-9,6.5584717E-3
158.00E-9,6.7561406E-3
158.50E-9,6.9458862E-3
159.00E-9,7.1283949E-3
159.50E-9,7.3039319E-3
160.00E-9,7.4715397E-3
160.50E-9,7.6313990E-3
161.00E-9,7.7831747E-3
161.50E-9,7.9267834E-3
162.00E-9,8.0620375E-3
162.50E-9,8.1888104E-3
163.00E-9,8.3069605E-3
163.50E-9,8.4163664E-3
164.00E-9,8.5153953E-3
164.50E-9,8.6057798E-3
165.00E-9,8.6885389E-3
165.50E-9,8.7615127E-3
166.00E-9,8.8255844E-3
166.50E-9,8.8802411E-3
167.00E-9,8.9256314E-3
167.50E-9,8.9616117E-3
168.00E-9,8.9881881E-3
168.50E-9,9.0053122E-3
169.00E-9,9.0129752E-3
169.50E-9,9.0111646E-3
170.00E-9,8.9998845E-3
170.50E-9,8.9791458E-3
171.00E-9,8.9489709E-3
171.50E-9,8.9093915E-3
172.00E-9,8.8604494E-3
172.50E-9,8.8021966E-3
173.00E-9,8.7346944E-3
173.50E-9,8.6580145E-3
174.00E-9,8.5722377E-3
174.50E-9,8.4774549E-3
175.00E-9,8.3737662E-3
175.50E-9,8.2612814E-3
176.00E-9,8.1401193E-3
176.50E-9,8.0104081E-3
177.00E-9,7.8722850E-3
177.50E-9,7.7258960E-3
178.00E-9,7.5713959E-3
178.50E-9,7.4083763E-3
179.00E-9,7.2375086E-3
179.50E-9,7.0595031E-3
180.00E-9,6.8738567E-3
180.50E-9,6.6810864E-3
181.00E-9,6.4812473E-3
181.50E-9,6.2740912E-3
182.00E-9,6.0601919E-3
182.50E-9,5.8403289E-3
183.00E-9,5.6141285E-3
183.50E-9,5.3821110E-3
184.00E-9,5.1443914E-3
184.50E-9,4.9012815E-3
185.00E-9,4.6518393E-3
185.50E-9,4.3973622E-3
186.00E-9,4.1392211E-3
186.50E-9,3.8762692E-3
187.00E-9,3.6090242E-3
187.50E-9,3.3376718E-3
188.00E-9,3.0631110E-3
188.50E-9,2.7851759E-3
189.00E-9,2.5043721E-3
189.50E-9,2.2200898E-3
190.00E-9,1.9332549E-3
190.50E-9,1.6449740E-3
191.00E-9,1.3546806E-3
191.50E-9,1.0625613E-3
192.00E-9,769.02235E-6
192.50E-9,475.04112E-6
193.00E-9,180.38607E-6
193.50E-9,-114.37932E-6
194.00E-9,-409.96335E-6
194.50E-9,-705.33441E-6
195.00E-9,-999.28391E-6
195.50E-9,-1.2924902E-3
196.00E-9,-1.5847146E-3
196.50E-9,-1.8755671E-3
197.00E-9,-2.1640490E-3
197.50E-9,-2.4504187E-3
198.00E-9,-2.7341114E-3
198.50E-9,-3.0157775E-3
199.00E-9,-3.2944506E-3
199.50E-9,-3.5690028E-3
200.00E-9,-3.8400646E-3
200.50E-9,-4.1073574E-3
201.00E-9,-4.3705629E-3
201.50E-9,-4.6288080E-3
202.00E-9,-4.8822936E-3
202.50E-9,-5.1305312E-3
203.00E-9,-5.3739735E-3
203.50E-9,-5.6118725E-3
204.00E-9,-5.8433395E-3
204.50E-9,-6.0688218E-3
205.00E-9,-6.2877592E-3
205.50E-9,-6.5005283E-3
206.00E-9,-6.7065135E-3
206.50E-9,-6.9050171E-3
207.00E-9,-7.0963470E-3
207.50E-9,-7.2800600E-3
208.00E-9,-7.4560737E-3
208.50E-9,-7.6241500E-3
209.00E-9,-7.7841354E-3
209.50E-9,-7.9366426E-3
210.00E-9,-8.0807502E-3
210.50E-9,-8.2155055E-3
211.00E-9,-8.3418708E-3
211.50E-9,-8.4591984E-3
212.00E-9,-8.5676035E-3
212.50E-9,-8.6668601E-3
213.00E-9,-8.7569150E-3
213.50E-9,-8.8376489E-3
214.00E-9,-8.9089876E-3
214.50E-9,-8.9708505E-3
215.00E-9,-9.0231745E-3
215.50E-9,-9.0659033E-3
216.00E-9,-9.0989922E-3
216.50E-9,-9.1224059E-3
217.00E-9,-9.1361197E-3
217.50E-9,-9.1401192E-3
218.00E-9,-9.1344001E-3
218.50E-9,-9.1189684E-3
219.00E-9,-9.0938406E-3
219.50E-9,-9.0590431E-3
220.00E-9,-9.0146127E-3
220.50E-9,-8.9605965E-3
221.00E-9,-8.8970515E-3
221.50E-9,-8.8240450E-3
222.00E-9,-8.7416541E-3
222.50E-9,-8.6499660E-3
223.00E-9,-8.5490777E-3
223.50E-9,-8.4390958E-3
224.00E-9,-8.3201366E-3
224.50E-9,-8.1923259E-3
225.00E-9,-8.0557990E-3
225.50E-9,-7.9107001E-3
226.00E-9,-7.7571827E-3
226.50E-9,-7.5954091E-3
227.00E-9,-7.4255505E-3
227.50E-9,-7.2069847E-3
228.00E-9,-7.0011261E-3
228.50E-9,-6.8217327E-3
229.00E-9,-6.6194244E-3
229.50E-9,-6.4512109E-3
230.00E-9,-6.2556029E-3
230.50E-9,-6.0266769E-3
231.00E-9,-5.8037497E-3
231.50E-9,-5.5688782E-3
232.00E-9,-5.3113628E-3
232.50E-9,-5.0577941E-3
233.00E-9,-4.8160700E-3
233.50E-9,-4.5612789E-3
234.00E-9,-4.3234638E-3
234.50E-9,-4.0380101E-3
235.00E-9,-3.7829156E-3
235.50E-9,-3.5077527E-3
236.00E-9,-3.2432893E-3
236.50E-9,-2.9676699E-3
237.00E-9,-2.6841464E-3
237.50E-9,-2.3999868E-3
238.00E-9,-2.1131119E-3
238.50E-9,-1.8245326E-3
239.00E-9,-1.5331981E-3
239.50E-9,-1.2406205E-3
240.00E-9,-947.43882E-6
240.50E-9,-653.50313E-6
241.00E-9,-358.25878E-6
241.50E-9,-62.921925E-6
242.00E-9,232.12737E-6
242.50E-9,526.64875E-6
243.00E-9,821.08294E-6
243.50E-9,1.1144307E-3
244.00E-9,1.4058028E-3
244.50E-9,1.6955720E-3
245.00E-9,1.9842113E-3
245.50E-9,2.2704465E-3
246.00E-9,2.5544249E-3
246.50E-9,2.8343518E-3
247.00E-9,3.1113014E-3
247.50E-9,3.3859446E-3
248.00E-9,3.6565598E-3
248.50E-9,3.9227372E-3
249.00E-9,4.1846286E-3
249.50E-9,4.4427176E-3
250.00E-9,4.6958375E-3
250.50E-9,4.9441354E-3
251.00E-9,5.1861267E-3
251.50E-9,5.4226859E-3
252.00E-9,5.6543194E-3
252.50E-9,5.8796301E-3
253.00E-9,6.0989141E-3
253.50E-9,6.3108565E-3
254.00E-9,6.5162077E-3
254.50E-9,6.7153360E-3
255.00E-9,6.9071004E-3
255.50E-9,7.0917295E-3
256.00E-9,7.2688281E-3
256.50E-9,7.4383017E-3
257.00E-9,7.5999280E-3
257.50E-9,7.7522514E-3
258.00E-9,7.8965956E-3
258.50E-9,8.0337877E-3
259.00E-9,8.1620002E-3
259.50E-9,8.2818773E-3
260.00E-9,8.3929308E-3
260.50E-9,8.4952109E-3
261.00E-9,8.5885315E-3
