293.85E-3,293.85E-3,401.58754855E-3
293.90E-3,293.90E-3,401.10935736E-3
293.95E-3,293.95E-3,400.63085889E-3
294.00E-3,294.00E-3,400.15205333E-3
294.05E-3,294.05E-3,399.67294088E-3
294.10E-3,294.10E-3,399.19352174E-3
294.15E-3,294.15E-3,398.71379610E-3
294.20E-3,294.20E-3,398.23376418E-3
294.25E-3,294.25E-3,397.75342617E-3
294.30E-3,294.30E-3,397.27278229E-3
294.35E-3,294.35E-3,396.79183272E-3
294.40E-3,294.40E-3,396.31057769E-3
294.45E-3,294.45E-3,395.82901740E-3
294.50E-3,294.50E-3,395.34715206E-3
294.55E-3,294.55E-3,394.86498188E-3
294.60E-3,294.60E-3,394.38250707E-3
294.65E-3,294.65E-3,393.89972784E-3
294.70E-3,294.70E-3,393.41664442E-3
294.75E-3,294.75E-3,392.93325701E-3
294.80E-3,294.80E-3,392.44956583E-3
294.85E-3,294.85E-3,391.96557111E-3
294.90E-3,294.90E-3,391.48127306E-3
294.95E-3,294.95E-3,390.99667189E-3
295.00E-3,295.00E-3,390.51176785E-3
295.05E-3,295.05E-3,390.02656114E-3
295.10E-3,295.10E-3,389.54105200E-3
295.15E-3,295.15E-3,389.05524065E-3
295.20E-3,295.20E-3,388.56912732E-3
295.25E-3,295.25E-3,388.08271223E-3
295.30E-3,295.30E-3,387.59599562E-3
295.35E-3,295.35E-3,387.10897773E-3
295.40E-3,295.40E-3,386.62165877E-3
295.45E-3,295.45E-3,386.13403900E-3
295.50E-3,295.50E-3,385.64611864E-3
295.55E-3,295.55E-3,385.15789793E-3
295.60E-3,295.60E-3,384.66937711E-3
295.65E-3,295.65E-3,384.18055642E-3
295.70E-3,295.70E-3,383.69143611E-3
295.75E-3,295.75E-3,383.20201641E-3
295.80E-3,295.80E-3,382.71229757E-3
295.85E-3,295.85E-3,382.22227984E-3
295.90E-3,295.90E-3,381.73196347E-3
295.95E-3,295.95E-3,381.24134869E-3
296.00E-3,296.00E-3,380.75043578E-3
296.05E-3,296.05E-3,380.25922496E-3
296.10E-3,296.10E-3,379.76771651E-3
296.15E-3,296.15E-3,379.27591067E-3
296.20E-3,296.20E-3,378.78380770E-3
296.25E-3,296.25E-3,378.29140786E-3
296.30E-3,296.30E-3,377.79871141E-3
296.35E-3,296.35E-3,377.30571861E-3
296.40E-3,296.40E-3,376.81242972E-3
296.45E-3,296.45E-3,376.31884500E-3
296.50E-3,296.50E-3,375.82496473E-3
296.55E-3,296.55E-3,375.33078916E-3
296.60E-3,296.60E-3,374.83631857E-3
296.65E-3,296.65E-3,374.34155323E-3
296.70E-3,296.70E-3,373.84649341E-3
296.75E-3,296.75E-3,373.35113938E-3
296.80E-3,296.80E-3,372.85549141E-3
296.85E-3,296.85E-3,372.35954980E-3
296.90E-3,296.90E-3,371.86331480E-3
296.95E-3,296.95E-3,371.36678670E-3
297.00E-3,297.00E-3,370.86996579E-3
297.05E-3,297.05E-3,370.37285235E-3
297.10E-3,297.10E-3,369.87544666E-3
297.15E-3,297.15E-3,369.37774900E-3
297.20E-3,297.20E-3,368.87975968E-3
297.25E-3,297.25E-3,368.38147896E-3
297.30E-3,297.30E-3,367.88290716E-3
297.35E-3,297.35E-3,367.38404455E-3
297.40E-3,297.40E-3,366.88489145E-3
297.45E-3,297.45E-3,366.38544813E-3
297.50E-3,297.50E-3,365.88571491E-3
297.55E-3,297.55E-3,365.38569207E-3
297.60E-3,297.60E-3,364.88537993E-3
297.65E-3,297.65E-3,364.38477878E-3
297.70E-3,297.70E-3,363.88388894E-3
297.75E-3,297.75E-3,363.38271070E-3
297.80E-3,297.80E-3,362.88124438E-3
297.85E-3,297.85E-3,362.37949029E-3
297.90E-3,297.90E-3,361.87744874E-3
297.95E-3,297.95E-3,361.37512004E-3
298.00E-3,298.00E-3,360.87250452E-3
298.05E-3,298.05E-3,360.36960248E-3
298.10E-3,298.10E-3,359.86641426E-3
298.15E-3,298.15E-3,359.36294016E-3
298.20E-3,298.20E-3,358.85918052E-3
298.25E-3,298.25E-3,358.35513566E-3
298.30E-3,298.30E-3,357.85080591E-3
298.35E-3,298.35E-3,357.34619159E-3
298.40E-3,298.40E-3,356.84129304E-3
298.45E-3,298.45E-3,356.33611059E-3
298.50E-3,298.50E-3,355.83064458E-3
298.55E-3,298.55E-3,355.32489534E-3
298.60E-3,298.60E-3,354.81886321E-3
298.65E-3,298.65E-3,354.31254853E-3
298.70E-3,298.70E-3,353.80595165E-3
298.75E-3,298.75E-3,353.29907292E-3
298.80E-3,298.80E-3,352.79191267E-3
298.85E-3,298.85E-3,352.28447126E-3
298.90E-3,298.90E-3,351.77674903E-3
298.95E-3,298.95E-3,351.26874635E-3
299.00E-3,299.00E-3,350.76046356E-3
299.05E-3,299.05E-3,350.25190103E-3
299.10E-3,299.10E-3,349.74305912E-3
299.15E-3,299.15E-3,349.23393817E-3
299.20E-3,299.20E-3,348.72453857E-3
299.25E-3,299.25E-3,348.21486067E-3
299.30E-3,299.30E-3,347.70490484E-3
299.35E-3,299.35E-3,347.19467146E-3
299.40E-3,299.40E-3,346.68416089E-3
299.45E-3,299.45E-3,346.17337351E-3
299.50E-3,299.50E-3,345.66230970E-3
299.55E-3,299.55E-3,345.15096984E-3
299.60E-3,299.60E-3,344.63935429E-3
299.65E-3,299.65E-3,344.12746346E-3
299.70E-3,299.70E-3,343.61529773E-3
299.75E-3,299.75E-3,343.10285748E-3
299.80E-3,299.80E-3,342.59014310E-3
299.85E-3,299.85E-3,342.07715500E-3
299.90E-3,299.90E-3,341.56389355E-3
299.95E-3,299.95E-3,341.05035916E-3
300.00E-3,300.00E-3,340.53655223E-3
